04/20 11:31:03 PM | Epoch: [65][   0/1501]	Time  1.291 ( 1.291)	Data  1.075 ( 1.075)	Loss -1.6731 (-1.6731)
04/20 11:38:04 PM | Lr:0.01 epoch: 66
04/20 11:38:05 PM | Epoch: [66][   0/1501]	Time  1.688 ( 1.688)	Data  1.486 ( 1.486)	Loss -1.6049 (-1.6049)
04/20 11:45:06 PM | Lr:0.01 epoch: 67
04/20 11:45:08 PM | Epoch: [67][   0/1501]	Time  1.745 ( 1.745)	Data  1.538 ( 1.538)	Loss -1.5360 (-1.5360)
04/20 11:52:09 PM | Lr:0.01 epoch: 68
04/20 11:52:10 PM | Epoch: [68][   0/1501]	Time  1.734 ( 1.734)	Data  1.529 ( 1.529)	Loss -1.7724 (-1.7724)
04/20 11:59:11 PM | Lr:0.01 epoch: 69
04/20 11:59:13 PM | Epoch: [69][   0/1501]	Time  1.542 ( 1.542)	Data  1.335 ( 1.335)	Loss -1.7994 (-1.7994)
04/21 12:06:14 AM | Lr:0.01 epoch: 70
04/21 12:06:15 AM | Epoch: [70][   0/1501]	Time  1.722 ( 1.722)	Data  1.517 ( 1.517)	Loss -1.7501 (-1.7501)
04/21 12:13:16 AM | Lr:0.01 epoch: 71
04/21 12:13:18 AM | Epoch: [71][   0/1501]	Time  1.756 ( 1.756)	Data  1.539 ( 1.539)	Loss -1.5682 (-1.5682)
04/21 12:20:19 AM | Lr:0.01 epoch: 72
04/21 12:20:21 AM | Epoch: [72][   0/1501]	Time  1.786 ( 1.786)	Data  1.566 ( 1.566)	Loss -1.6452 (-1.6452)
04/21 12:27:21 AM | Lr:0.01 epoch: 73
04/21 12:27:23 AM | Epoch: [73][   0/1501]	Time  1.752 ( 1.752)	Data  1.536 ( 1.536)	Loss -1.7241 (-1.7241)
04/21 12:34:24 AM | Lr:0.01 epoch: 74
04/21 12:34:26 AM | Epoch: [74][   0/1501]	Time  1.766 ( 1.766)	Data  1.543 ( 1.543)	Loss -1.5703 (-1.5703)
04/21 12:41:27 AM | Lr:0.01 epoch: 75
04/21 12:41:28 AM | Epoch: [75][   0/1501]	Time  1.793 ( 1.793)	Data  1.585 ( 1.585)	Loss -1.5247 (-1.5247)
04/21 12:48:30 AM | Lr:0.01 epoch: 76
04/21 12:48:31 AM | Epoch: [76][   0/1501]	Time  1.748 ( 1.748)	Data  1.544 ( 1.544)	Loss -1.5987 (-1.5987)
04/21 12:55:32 AM | Lr:0.01 epoch: 77
04/21 12:55:34 AM | Epoch: [77][   0/1501]	Time  1.644 ( 1.644)	Data  1.420 ( 1.420)	Loss -1.6322 (-1.6322)
04/21 01:02:35 AM | Lr:0.01 epoch: 78
04/21 01:02:36 AM | Epoch: [78][   0/1501]	Time  1.729 ( 1.729)	Data  1.509 ( 1.509)	Loss -1.6653 (-1.6653)
04/21 01:09:37 AM | Lr:0.01 epoch: 79
04/21 01:09:39 AM | Epoch: [79][   0/1501]	Time  1.776 ( 1.776)	Data  1.545 ( 1.545)	Loss -1.6247 (-1.6247)
04/21 01:16:40 AM | Lr:0.01 epoch: 80
04/21 01:16:42 AM | Epoch: [80][   0/1501]	Time  1.739 ( 1.739)	Data  1.532 ( 1.532)	Loss -1.6732 (-1.6732)
04/21 01:23:43 AM | Lr:0.01 epoch: 81
04/21 01:23:45 AM | Epoch: [81][   0/1501]	Time  1.724 ( 1.724)	Data  1.512 ( 1.512)	Loss -1.6239 (-1.6239)
04/21 01:30:46 AM | Lr:0.01 epoch: 82
04/21 01:30:47 AM | Epoch: [82][   0/1501]	Time  1.740 ( 1.740)	Data  1.524 ( 1.524)	Loss -1.6453 (-1.6453)
04/21 01:37:48 AM | Lr:0.01 epoch: 83
04/21 01:37:50 AM | Epoch: [83][   0/1501]	Time  1.789 ( 1.789)	Data  1.567 ( 1.567)	Loss -1.6333 (-1.6333)
04/21 01:44:51 AM | Lr:0.01 epoch: 84
04/21 01:44:53 AM | Epoch: [84][   0/1501]	Time  1.711 ( 1.711)	Data  1.495 ( 1.495)	Loss -1.6346 (-1.6346)
04/21 01:51:54 AM | Lr:0.01 epoch: 85
04/21 01:51:56 AM | Epoch: [85][   0/1501]	Time  1.780 ( 1.780)	Data  1.563 ( 1.563)	Loss -1.5877 (-1.5877)
04/21 01:58:57 AM | Lr:0.01 epoch: 86
04/21 01:58:58 AM | Epoch: [86][   0/1501]	Time  1.756 ( 1.756)	Data  1.546 ( 1.546)	Loss -1.6946 (-1.6946)
04/21 02:05:59 AM | Lr:0.01 epoch: 87
04/21 02:06:01 AM | Epoch: [87][   0/1501]	Time  1.549 ( 1.549)	Data  1.343 ( 1.343)	Loss -1.6140 (-1.6140)
04/21 02:13:02 AM | Lr:0.01 epoch: 88
04/21 02:13:03 AM | Epoch: [88][   0/1501]	Time  1.658 ( 1.658)	Data  1.449 ( 1.449)	Loss -1.7127 (-1.7127)
04/21 02:20:04 AM | Lr:0.01 epoch: 89
04/21 02:20:06 AM | Epoch: [89][   0/1501]	Time  1.675 ( 1.675)	Data  1.467 ( 1.467)	Loss -1.6825 (-1.6825)
04/21 02:27:07 AM | Lr:0.01 epoch: 90
04/21 02:27:08 AM | Epoch: [90][   0/1501]	Time  1.758 ( 1.758)	Data  1.555 ( 1.555)	Loss -1.6152 (-1.6152)
04/21 02:34:09 AM | Lr:0.01 epoch: 91
04/21 02:34:11 AM | Epoch: [91][   0/1501]	Time  1.784 ( 1.784)	Data  1.566 ( 1.566)	Loss -1.7156 (-1.7156)
04/21 02:41:12 AM | Lr:0.01 epoch: 92
04/21 02:41:13 AM | Epoch: [92][   0/1501]	Time  1.736 ( 1.736)	Data  1.519 ( 1.519)	Loss -1.5945 (-1.5945)
04/21 02:48:14 AM | Lr:0.01 epoch: 93
04/21 02:48:16 AM | Epoch: [93][   0/1501]	Time  1.755 ( 1.755)	Data  1.536 ( 1.536)	Loss -1.5946 (-1.5946)
04/21 02:55:17 AM | Lr:0.01 epoch: 94
04/21 02:55:19 AM | Epoch: [94][   0/1501]	Time  1.800 ( 1.800)	Data  1.577 ( 1.577)	Loss -1.7321 (-1.7321)
04/21 03:02:19 AM | Lr:0.01 epoch: 95
04/21 03:02:21 AM | Epoch: [95][   0/1501]	Time  1.514 ( 1.514)	Data  1.299 ( 1.299)	Loss -1.6614 (-1.6614)
04/21 03:09:21 AM | Lr:0.01 epoch: 96
04/21 03:09:23 AM | Epoch: [96][   0/1501]	Time  1.715 ( 1.715)	Data  1.511 ( 1.511)	Loss -1.6569 (-1.6569)
04/21 03:16:24 AM | Lr:0.01 epoch: 97
04/21 03:16:26 AM | Epoch: [97][   0/1501]	Time  1.737 ( 1.737)	Data  1.526 ( 1.526)	Loss -1.6994 (-1.6994)
04/21 03:23:26 AM | Lr:0.01 epoch: 98
04/21 03:23:28 AM | Epoch: [98][   0/1501]	Time  1.804 ( 1.804)	Data  1.586 ( 1.586)	Loss -1.7021 (-1.7021)
04/21 03:30:29 AM | Lr:0.01 epoch: 99
04/21 03:30:31 AM | Epoch: [99][   0/1501]	Time  1.710 ( 1.710)	Data  1.505 ( 1.505)	Loss -1.7085 (-1.7085)
04/21 03:37:32 AM | Lr:0.01 epoch: 100
04/21 03:37:33 AM | Epoch: [100][   0/1501]	Time  1.675 ( 1.675)	Data  1.460 ( 1.460)	Loss -1.6704 (-1.6704)
04/21 03:44:34 AM | Lr:0.01 epoch: 101
04/21 03:44:36 AM | Epoch: [101][   0/1501]	Time  1.765 ( 1.765)	Data  1.544 ( 1.544)	Loss -1.6452 (-1.6452)
04/21 03:51:37 AM | Lr:0.01 epoch: 102
04/21 03:51:39 AM | Epoch: [102][   0/1501]	Time  1.712 ( 1.712)	Data  1.501 ( 1.501)	Loss -1.6782 (-1.6782)
04/21 03:58:39 AM | Lr:0.01 epoch: 103
04/21 03:58:41 AM | Epoch: [103][   0/1501]	Time  1.776 ( 1.776)	Data  1.558 ( 1.558)	Loss -1.6738 (-1.6738)
04/21 04:05:42 AM | Lr:0.01 epoch: 104
04/21 04:05:44 AM | Epoch: [104][   0/1501]	Time  1.816 ( 1.816)	Data  1.612 ( 1.612)	Loss -1.6375 (-1.6375)
04/21 04:12:45 AM | Lr:0.01 epoch: 105
04/21 04:12:47 AM | Epoch: [105][   0/1501]	Time  1.721 ( 1.721)	Data  1.514 ( 1.514)	Loss -1.6057 (-1.6057)
04/21 04:19:47 AM | Lr:0.01 epoch: 106
04/21 04:19:49 AM | Epoch: [106][   0/1501]	Time  1.775 ( 1.775)	Data  1.559 ( 1.559)	Loss -1.7724 (-1.7724)
04/21 04:26:50 AM | Lr:0.01 epoch: 107
04/21 04:26:52 AM | Epoch: [107][   0/1501]	Time  1.766 ( 1.766)	Data  1.559 ( 1.559)	Loss -1.7235 (-1.7235)
04/21 04:33:52 AM | Lr:0.01 epoch: 108
04/21 04:33:54 AM | Epoch: [108][   0/1501]	Time  1.688 ( 1.688)	Data  1.481 ( 1.481)	Loss -1.7397 (-1.7397)
04/21 04:40:55 AM | Lr:0.01 epoch: 109
04/21 04:40:57 AM | Epoch: [109][   0/1501]	Time  1.702 ( 1.702)	Data  1.496 ( 1.496)	Loss -1.7587 (-1.7587)
04/21 04:47:58 AM | Lr:0.01 epoch: 110
04/21 04:47:59 AM | Epoch: [110][   0/1501]	Time  1.779 ( 1.779)	Data  1.570 ( 1.570)	Loss -1.7411 (-1.7411)
04/21 04:55:00 AM | Lr:0.01 epoch: 111
04/21 04:55:02 AM | Epoch: [111][   0/1501]	Time  1.731 ( 1.731)	Data  1.527 ( 1.527)	Loss -1.7214 (-1.7214)
04/21 05:02:03 AM | Lr:0.01 epoch: 112
04/21 05:02:04 AM | Epoch: [112][   0/1501]	Time  1.773 ( 1.773)	Data  1.553 ( 1.553)	Loss -1.6404 (-1.6404)
04/21 05:09:05 AM | Lr:0.01 epoch: 113
04/21 05:09:07 AM | Epoch: [113][   0/1501]	Time  1.734 ( 1.734)	Data  1.529 ( 1.529)	Loss -1.7169 (-1.7169)
04/21 05:16:08 AM | Lr:0.01 epoch: 114
04/21 05:16:10 AM | Epoch: [114][   0/1501]	Time  1.789 ( 1.789)	Data  1.581 ( 1.581)	Loss -1.7753 (-1.7753)
04/21 05:23:10 AM | Lr:0.01 epoch: 115
04/21 05:23:12 AM | Epoch: [115][   0/1501]	Time  1.711 ( 1.711)	Data  1.508 ( 1.508)	Loss -1.6036 (-1.6036)
04/21 05:30:13 AM | Lr:0.01 epoch: 116
04/21 05:30:14 AM | Epoch: [116][   0/1501]	Time  1.731 ( 1.731)	Data  1.516 ( 1.516)	Loss -1.7717 (-1.7717)
04/21 05:37:15 AM | Lr:0.01 epoch: 117
04/21 05:37:17 AM | Epoch: [117][   0/1501]	Time  1.765 ( 1.765)	Data  1.559 ( 1.559)	Loss -1.8120 (-1.8120)
04/21 05:44:18 AM | Lr:0.01 epoch: 118
04/21 05:44:19 AM | Epoch: [118][   0/1501]	Time  1.796 ( 1.796)	Data  1.577 ( 1.577)	Loss -1.8304 (-1.8304)
04/21 05:51:20 AM | Lr:0.01 epoch: 119
04/21 05:51:22 AM | Epoch: [119][   0/1501]	Time  1.803 ( 1.803)	Data  1.580 ( 1.580)	Loss -1.7120 (-1.7120)
04/21 05:58:23 AM | Lr:0.001 epoch: 120
04/21 05:58:25 AM | Epoch: [120][   0/1501]	Time  1.753 ( 1.753)	Data  1.541 ( 1.541)	Loss -1.7162 (-1.7162)
04/21 06:05:25 AM | Lr:0.001 epoch: 121
04/21 06:05:27 AM | Epoch: [121][   0/1501]	Time  1.810 ( 1.810)	Data  1.591 ( 1.591)	Loss -1.7607 (-1.7607)
04/21 06:12:28 AM | Lr:0.001 epoch: 122
04/21 06:12:30 AM | Epoch: [122][   0/1501]	Time  1.744 ( 1.744)	Data  1.524 ( 1.524)	Loss -1.8393 (-1.8393)
04/21 06:19:31 AM | Lr:0.001 epoch: 123
04/21 06:19:33 AM | Epoch: [123][   0/1501]	Time  1.539 ( 1.539)	Data  1.330 ( 1.330)	Loss -1.8287 (-1.8287)
04/21 06:26:33 AM | Lr:0.001 epoch: 124
04/21 06:26:35 AM | Epoch: [124][   0/1501]	Time  1.720 ( 1.720)	Data  1.508 ( 1.508)	Loss -1.8080 (-1.8080)
04/21 06:33:36 AM | Lr:0.001 epoch: 125
04/21 06:33:38 AM | Epoch: [125][   0/1501]	Time  1.824 ( 1.824)	Data  1.616 ( 1.616)	Loss -1.7645 (-1.7645)
04/21 06:40:39 AM | Lr:0.001 epoch: 126
04/21 06:40:40 AM | Epoch: [126][   0/1501]	Time  1.781 ( 1.781)	Data  1.562 ( 1.562)	Loss -1.8410 (-1.8410)
04/21 06:47:41 AM | Lr:0.001 epoch: 127
04/21 06:47:43 AM | Epoch: [127][   0/1501]	Time  1.845 ( 1.845)	Data  1.629 ( 1.629)	Loss -1.7710 (-1.7710)
04/21 06:54:44 AM | Lr:0.001 epoch: 128
04/21 06:54:46 AM | Epoch: [128][   0/1501]	Time  1.762 ( 1.762)	Data  1.559 ( 1.559)	Loss -1.8287 (-1.8287)
04/21 07:01:47 AM | Lr:0.001 epoch: 129
04/21 07:01:48 AM | Epoch: [129][   0/1501]	Time  1.786 ( 1.786)	Data  1.580 ( 1.580)	Loss -1.7708 (-1.7708)
04/21 07:08:49 AM | Lr:0.001 epoch: 130
04/21 07:08:51 AM | Epoch: [130][   0/1501]	Time  1.747 ( 1.747)	Data  1.524 ( 1.524)	Loss -1.8482 (-1.8482)
04/21 07:15:52 AM | Lr:0.001 epoch: 131
04/21 07:15:54 AM | Epoch: [131][   0/1501]	Time  1.734 ( 1.734)	Data  1.529 ( 1.529)	Loss -1.7760 (-1.7760)
04/21 07:22:55 AM | Lr:0.001 epoch: 132
04/21 07:22:57 AM | Epoch: [132][   0/1501]	Time  1.746 ( 1.746)	Data  1.525 ( 1.525)	Loss -1.8072 (-1.8072)
04/21 07:29:57 AM | Lr:0.001 epoch: 133
04/21 07:29:59 AM | Epoch: [133][   0/1501]	Time  1.729 ( 1.729)	Data  1.516 ( 1.516)	Loss -1.8210 (-1.8210)
04/21 07:37:00 AM | Lr:0.001 epoch: 134
